aprtfEtryptDt,total,MB,MK,MS
2022031612,194,100.80586830433299,33.77846013874673,59.41567155692027
2022031609,194,100.80586830433299,33.77846013874673,59.41567155692027
2022031615,291,151.20880245649948,50.66769020812009,89.12350733538041
2022031615,454,235.9065165472535,79.04856135562379,139.0449220971227
2022031608,62,32.21630842715797,10.795177982486068,18.988513590355964
2022031613,890,462.459911293074,154.9630387808484,272.57704992607756
2022031606,149,77.4230638007506,25.943250312748777,45.63368588650062
2022031616,149,77.4230638007506,25.943250312748777,45.63368588650062
2022031616,10,5.196178778573866,1.741157739110656,3.062663482315478
2022031610,91,47.285226885022176,15.84453542590697,27.87023768907085
2022031615,40,20.784715114295462,6.964630956442624,12.250653929261912
2022031606,507,263.446264073695,88.27669737291026,155.27703855339473
2022031617,46,23.90242238143978,8.009325599909019,14.088252018651199
