dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2016011218.0,233050.0,40738.0,10327.0,148.0,8.0,3.0,1.0
2016011219.0,609419.0,0.0,1582.0,239265.0,0.0,3.0,4.0
2016011220.0,283214.0,499.0,96309.0,151.0,1.0,3.0,1.0
2016011221.0,324701.0,33679.0,10725.0,97853.0,3.0,3.0,3.0
2016011222.0,264694.51,5609.0,164.0,1776.0,3.0,1.0,3.0
2016011223.0,339858.0,75538.0,1098.0,88089.0,5.0,2.0,1.0
2016011224.0,184294.0,90041.0,0.0,80.0,2.0,0.0,1.0
2016011301.0,75114.0,172.0,0.0,54778.0,2.0,0.0,1.0
2016011302.0,1613.0,0.0,0.0,1545.0,0.0,0.0,1.0
2016011303.0,132298.0,2255.0,0.0,2666.0,3.0,0.0,3.0
2016011304.0,206012.0,498.0,549.0,0.0,3.0,1.0,0.0
2016011305.0,26362.510000000002,3447.51,7747.0,7564.0,5.0,1.0,2.0
2016011306.0,194037.0,118.0,77.0,843.0,1.0,1.0,1.0
2016011307.0,210968.0,27704.0,6004.0,92.0,6.0,2.0,1.0
2016011308.0,276405.0,23242.0,15792.0,0.0,5.0,4.0,0.0
2016011309.0,397716.0,17401.0,1695.0,44722.0,8.0,2.0,3.0
2016011310.0,683123.0,34584.0,95377.0,12325.0,8.0,3.0,3.0
2016011311.0,174206.98,4800.0,1750.0,39154.0,1.0,2.0,6.0
2016011312.0,133967.0,42613.0,107.0,626.0,4.0,1.0,3.0
2016011313.0,228727.0,23674.0,10804.0,0.0,5.0,3.0,0.0
2016011314.0,338698.0,295995.0,10898.0,1837.0,6.0,4.0,3.0
2016011315.0,322471.0,59436.0,25628.0,1514.0,6.0,2.0,4.0
2016011316.0,233299.0,46942.0,143.0,10203.0,7.0,2.0,4.0
2016011317.0,572573.0,225181.0,80.0,96208.0,13.0,1.0,4.0
2016011318.0,127807.0,35453.0,21688.0,200.0,8.0,1.0,2.0
2016011319.0,293023.0,29740.0,7687.0,36619.0,3.0,3.0,4.0
2016011320.0,430744.0,91530.0,0.0,7170.0,3.0,0.0,1.0
2016011321.0,270785.0,202944.0,18000.0,11509.0,5.0,3.0,3.0
2016011322.0,100677.0,86038.0,0.0,10019.0,2.0,0.0,2.0
2016011323.0,121803.0,23668.0,0.0,45881.0,6.0,0.0,5.0
2016011324.0,223334.43,27317.0,0.0,24706.0,4.0,0.0,3.0
2016011401.0,241755.0,15660.0,0.0,18257.0,3.0,0.0,1.0
2016011402.0,320172.0,69438.0,0.0,5403.0,4.0,0.0,1.0
2016011403.0,175141.0,1570.0,0.0,56157.0,1.0,0.0,4.0
2016011404.0,40358.0,20442.0,0.0,9757.0,2.0,0.0,1.0
2016011405.0,88584.0,0.0,0.0,69232.0,0.0,0.0,4.0
2016011406.0,175521.0,43229.0,0.0,37348.0,1.0,0.0,2.0
2016011407.0,174087.0,48.0,683.0,127098.0,1.0,1.0,7.0
2016011408.0,115529.0,19428.0,0.0,4478.0,5.0,0.0,3.0
2016011409.0,589566.0,111643.0,1648.0,61019.0,7.0,2.0,3.0
2016011410.0,152086.0,91358.0,106.0,19961.0,6.0,1.0,1.0
2016011411.0,620180.0,211299.0,164.0,83650.0,3.0,1.0,3.0
2016011412.0,261722.0,55206.0,0.0,81828.0,6.0,0.0,4.0
2016011413.0,203752.02,81047.02,0.0,287.0,6.0,0.0,1.0
2016011414.0,244245.0,164.0,0.0,70806.0,1.0,0.0,2.0
2016011415.0,138543.0,4440.0,3223.0,1686.0,4.0,3.0,1.0
2016011416.0,267636.0,3794.0,4391.0,0.0,4.0,3.0,0.0
2016011417.0,644681.0,129966.0,573.0,145571.0,2.0,4.0,4.0
2016011418.0,386554.0,117000.0,1683.0,14813.0,8.0,1.0,4.0
2016011419.0,113670.0,9754.0,1613.0,54366.0,3.0,2.0,2.0
2016011420.0,275728.0,4157.0,0.0,76744.0,3.0,0.0,3.0
2016011421.0,153185.0,3792.0,1510.0,4253.0,1.0,1.0,4.0
2016011422.0,474406.0,76403.0,10773.0,133053.0,3.0,4.0,3.0
2016011423.0,43509.0,164.0,0.0,888.0,1.0,0.0,4.0
2016011424.0,130704.0,3100.0,559.0,0.0,1.0,1.0,0.0
2016011501.0,290754.51,1373.51,51872.0,84220.0,2.0,1.0,3.0
2016011502.0,199852.0,166585.0,0.0,24824.0,5.0,0.0,2.0
2016011503.0,675923.0,17384.0,69360.0,231314.0,2.0,4.0,4.0
2016011504.0,204463.0,0.0,535.0,106402.0,0.0,1.0,3.0
2016011505.0,173466.0,54516.0,3838.0,6024.0,3.0,1.0,4.0
2016011506.0,302914.0,24504.0,149.0,4716.0,1.0,1.0,4.0
2016011507.0,320667.0,79241.0,1497.0,0.0,2.0,2.0,0.0
2016011508.0,283264.0,42185.0,141828.0,31354.0,7.0,3.0,2.0
2016011509.0,354946.0,83038.0,1588.0,61729.0,7.0,1.0,5.0
2016011510.0,792519.0,153269.0,0.0,151504.0,6.0,0.0,2.0
2016011511.0,238053.0,14863.0,6555.0,139919.0,7.0,3.0,3.0
2016011512.0,151316.0,86781.0,1468.0,164.0,5.0,5.0,1.0
2016011513.0,211164.0,8584.0,1880.0,104.0,6.0,1.0,1.0
2016011514.0,397708.0,2214.0,518.0,6221.0,3.0,4.0,3.0
2016011515.0,167018.0,1793.0,0.0,220.0,3.0,0.0,2.0
2016011516.0,310847.0,3957.0,0.0,169046.0,6.0,0.0,4.0
2016011517.0,135168.0,9410.0,4548.0,27779.0,6.0,4.0,4.0
2016011518.0,178524.0,33006.0,2891.0,197.0,7.0,3.0,2.0
2016011519.0,202916.0,20178.0,6569.0,40406.0,3.0,4.0,2.0
2016011520.0,174095.0,117172.0,3560.0,1088.0,2.0,1.0,2.0
2016011521.0,143251.0,164.0,3838.0,0.0,1.0,1.0,0.0
2016011522.0,26499.0,151.0,52.0,0.0,1.0,1.0,0.0
2016011523.0,287690.0,8748.0,0.0,48025.0,5.0,0.0,1.0
2016011524.0,114064.0,14472.0,5131.0,287.0,3.0,1.0,1.0
2016011601.0,204943.45,1655.0,0.0,139891.0,2.0,0.0,3.0
2016011602.0,152736.0,608.0,0.0,106227.0,2.0,0.0,2.0
2016011603.0,260216.0,95657.0,0.0,118615.0,2.0,0.0,1.0
2016011604.0,46814.0,0.0,0.0,85.0,0.0,0.0,1.0
2016011605.0,34157.0,0.0,0.0,11632.0,0.0,0.0,3.0
2016011606.0,111598.0,9271.0,0.0,0.0,3.0,0.0,0.0
2016011607.0,408897.45,119049.0,0.0,9677.0,7.0,0.0,2.0
2016011608.0,142131.0,55676.0,7406.0,48025.0,8.0,1.0,1.0
2016011609.0,356381.0,115099.0,0.0,96482.0,11.0,0.0,2.0
2016011610.0,142667.0,24395.0,1673.0,59.0,7.0,2.0,1.0
2016011611.0,453006.0,172479.0,6466.0,95875.0,9.0,4.0,2.0
2016011612.0,257343.0,42609.0,20107.0,164.0,1.0,2.0,1.0
2016011613.0,327427.0,21455.0,1407.0,177908.0,10.0,1.0,6.0
2016011614.0,258667.0,12307.0,0.0,1800.0,3.0,0.0,2.0
2016011615.0,236601.0,113846.0,1316.0,13624.0,5.0,1.0,4.0
2016011616.0,148537.0,14291.0,8248.0,205.0,6.0,2.0,2.0
2016011617.0,211541.0,71746.0,8572.0,1414.0,4.0,3.0,2.0
2016011618.0,346120.0,213155.0,11807.0,6958.0,15.0,2.0,2.0
2016011619.0,78024.0,2373.0,0.0,154.0,2.0,0.0,2.0
2016011620.0,152648.0,493.0,0.0,9682.0,1.0,0.0,4.0
2016011621.0,141531.0,15983.0,0.0,151.0,2.0,0.0,1.0
2016011622.0,265591.0,75989.0,0.0,55152.0,6.0,0.0,4.0
2016011623.0,149180.0,51.0,0.0,28383.0,1.0,0.0,4.0
2016011624.0,140464.51,77115.0,0.0,29753.0,5.0,0.0,1.0
2016011701.0,11768.0,2706.0,499.0,1634.0,3.0,1.0,2.0
2016011702.0,274641.0,104356.0,0.0,10968.0,4.0,0.0,2.0
2016011703.0,234132.0,8699.0,92198.0,4124.0,3.0,1.0,1.0
2016011704.0,56532.0,7406.0,9030.0,13151.0,1.0,1.0,1.0
2016011705.0,43702.0,9172.0,0.0,11110.0,2.0,0.0,2.0
2016011706.0,127223.0,101.0,0.0,71962.0,1.0,0.0,2.0
2016011707.0,48417.0,10781.0,5275.0,7197.0,3.0,1.0,1.0
