aprtfEtryptDt,total,MB,MK,MS
2022032512,52581,27322.02763561924,9155.18150801774,16103.790856363015
2022032510,53100,27591.709314227228,9245.547594677584,16262.743091095188
2022032508,1530,795.0153531218015,266.3971340839304,468.58751279426815
2022032511,98,50.92255203002388,17.06334584328443,30.014102126691686
2022032506,9870,5128.628454452405,1718.5226885022175,3022.848857045377
2022032508,999,519.0982599795292,173.94165813715455,305.96008188331626
2022032507,699,363.2128966223132,121.70692596383486,214.0801774138519
2022032503,431,223.95530535653361,75.04389855566927,132.0007960877971
2022032508,378,196.41555783009213,65.8157625383828,115.76867963152507
2022032510,890,462.459911293074,154.9630387808484,272.57704992607756
2022032509,1534,797.093824633231,267.09359717957466,469.81257818719433
2022032503,54,28.059365404298873,9.402251791197543,16.53838280450358
2022032509,46,23.90242238143978,8.009325599909019,14.088252018651199
2022032507,4401,2286.838280450358,766.2835209825997,1347.8781985670419
2022032501,0,0.0,0.0,0.0
2022032502,0,0.0,0.0,0.0
2022032503,0,0.0,0.0,0.0
2022032504,0,0.0,0.0,0.0
2022032505,0,0.0,0.0,0.0
2022032506,0,0.0,0.0,0.0
2022032507,0,0.0,0.0,0.0
2022032508,0,0.0,0.0,0.0
2022032509,0,0.0,0.0,0.0
2022032510,0,0.0,0.0,0.0
2022032511,0,0.0,0.0,0.0
2022032512,0,0.0,0.0,0.0
2022032513,0,0.0,0.0,0.0
2022032514,0,0.0,0.0,0.0
2022032515,0,0.0,0.0,0.0
2022032516,0,0.0,0.0,0.0
2022032517,0,0.0,0.0,0.0
2022032518,0,0.0,0.0,0.0
2022032519,0,0.0,0.0,0.0
2022032520,0,0.0,0.0,0.0
2022032521,0,0.0,0.0,0.0
2022032522,0,0.0,0.0,0.0
2022032523,0,0.0,0.0,0.0
2022032524,0,0.0,0.0,0.0
2022032513,141,73.2661207778915,24.550324121460253,43.18355510064824
2022032511,129,67.03070624360286,22.460934834527464,39.508358921869664
2022032512,59,30.657454793585806,10.272830660752872,18.06971454566132
2022032511,59,30.657454793585806,10.272830660752872,18.06971454566132
2022032516,68,35.33401569430229,11.839872625952461,20.82611167974525
2022032513,68,35.33401569430229,11.839872625952461,20.82611167974525
2022032516,141,73.2661207778915,24.550324121460253,43.18355510064824
2022032512,141,73.2661207778915,24.550324121460253,43.18355510064824
2022032504,94,48.84408051859434,16.36688274764017,28.789036733765492
2022032512,107,55.59911293074036,18.63038780848402,32.770499260775615
2022032511,80,41.569430228590925,13.929261912885249,24.501307858523823
2022032508,80,41.569430228590925,13.929261912885249,24.501307858523823
2022032514,15,7.794268167860798,2.6117366086659843,4.593995223473217
2022032515,31,16.108154213578985,5.397588991243034,9.494256795177982
2022032511,1653,858.92835209826,287.8133742749915,506.2582736267485
2022032514,3.03,1.5744421699078812,0.5275707949505287,0.9279870351415898
2022032514,112,58.197202320027294,19.500966678039347,34.30183100193335
2022032513,112,58.197202320027294,19.500966678039347,34.30183100193335
2022032513,264,137.17911975435004,45.96656431252132,80.85431593312862
2022032509,194,100.80586830433299,33.77846013874673,59.41567155692027
2022032512,194,100.80586830433299,33.77846013874673,59.41567155692027
2022032508,194,100.80586830433299,33.77846013874673,59.41567155692027
2022032511,149,77.4230638007506,25.943250312748777,45.63368588650062
2022032510,149,77.4230638007506,25.943250312748777,45.63368588650062
2022032511,226,117.43364039576936,39.350164903900826,69.21619470032981
2022032502,40,20.784715114295462,6.964630956442624,12.250653929261912
2022032507,40,20.784715114295462,6.964630956442624,12.250653929261912
2022032508,40,20.784715114295462,6.964630956442624,12.250653929261912
2022032511,40,20.784715114295462,6.964630956442624,12.250653929261912
2022032512,40,20.784715114295462,6.964630956442624,12.250653929261912
2022032501,40,20.784715114295462,6.964630956442624,12.250653929261912
2022032511,67,34.8143978164449,11.665756852041396,20.519845331513704
2022032514,67,34.8143978164449,11.665756852041396,20.519845331513704
2022032515,67,34.8143978164449,11.665756852041396,20.519845331513704
2022032510,67,34.8143978164449,11.665756852041396,20.519845331513704
